"","neighborhood","dismean10","dis10sd","count","dis10max","dis10min"
"28","Holly Park",4538.16426518688,1780.757190868,7,7372.20932350415,2611.44278672583
"29","Industrial District",4549.9404613163,3678.18763011622,37,11943.0066529447,13.9872206358734
"30","Interbay",3493.75297059183,1970.20625680771,5,6848.30898417827,1908.89271137215
"31","International District",2471.82760659848,2096.17103013467,8,7430.34797372967,449.032894208379
"32","Laurelhurst",2673.71799536724,1557.88557291447,13,5372.86586583872,824.982573212022
"33","Lawton Park",3823.69816101769,1380.5927533947,7,5416.02875397546,2318.97993489774
"34","Leschi",3035.53178546607,NA,1,3035.53178546607,3035.53178546607
"35","Lower Queen Anne",3770.38714069335,2244.62703229959,33,8762.215237377,623.556583014817
"36","Loyal Heights",4239.78001226552,1143.28070499412,4,5865.59719685378,3183.50396462974
"37","Madison Park",1942.08839312157,2000.11871485363,2,3356.3858995727,527.790886670451
"38","Madrona",4405.86837538764,1282.52519339855,2,5312.75063668234,3498.98611409294
"39","Mann",3068.11727004673,2001.72706930674,5,5935.48035042031,691.678822712203
"40","Maple Leaf",4329.72012731812,3550.20038431775,26,14639.5309605661,663.438665168547
"41","Matthews Beach",4219.71246530238,834.24808809042,4,5277.66668034372,3237.19109776775
"42","Meadowbrook",4404.18816694502,NA,1,4404.18816694502,4404.18816694502
"43","Mid-Beacon Hill",3165.68783054514,1664.1898775164,9,5475.80760605341,659.627671544065
"44","Minor",5517.57708697311,6867.56296912997,13,20666.4719537631,627.740494849773
"45","Montlake",2743.72491954668,2185.06040557323,13,8211.04407091823,210.371503490261
"46","North Admiral",3764.79302823409,2389.7884582691,8,6970.01716408541,328.56769400888
"47","North Beach/Blue Ridge",5196.34023013365,NA,1,5196.34023013365,5196.34023013365
"48","North Beacon Hill",4236.26033359939,2615.34357511846,18,9967.82493077262,1484.46177414889
"49","North College Park",4035.21994812584,3172.16959864371,6,8516.24202997247,180.359160032486
"50","North Delridge",3692.55646822051,1177.1980134254,12,5494.2729381929,1980.12756883896
"51","North Queen Anne",2962.83972383443,1808.74254658434,18,6802.86607326575,317.583413715489
"52","Olympic Hills",5825.43310347016,4190.23528649703,12,15688.4827807496,1188.41835664945
"53","Phinney Ridge",3682.10960848973,1753.50942682302,17,7501.71481655182,772.829014783986
"54","Pike-Market",7244.686266281,NA,1,7244.686266281,7244.686266281
"55","Pinehurst",7104.9619607785,6303.6254979657,8,21247.8706644339,1932.76973604306
"56","Pioneer Square",2594.41794731173,2724.10306838771,6,6684.67214270602,79.2181007785126
"57","Portage Bay",6861.75856797958,6860.08896470903,2,11712.5739944683,2010.94314149083
"58","Rainier View",4040.89955481216,484.343078315595,4,4741.60627763392,3704.76346160187
"59","Ravenna",3015.52019516671,1776.95582701009,15,7339.36472667533,801.531842588677
"60","Riverview",3880.06698067957,2651.88570166057,4,7764.26233538554,1825.19400140129
"61","Roosevelt",4226.76555798496,2967.89574893127,27,13367.2287881005,675.408516898038
"62","Roxhill",4669.03968391141,958.265197031114,8,5749.10883176802,2950.04307087496
"63","Sand Point",2492.03977566214,1385.25460574197,3,3306.0818312579,892.570857379981
"64","Seaview",3196.02922459654,767.118315754998,3,3706.58967368088,2313.87857385779
"65","Seward Park",3850.08797158618,1782.6986104699,2,5110.64624786128,2589.52969531108
"66","South Delridge",7766.98568929813,361.835258060806,3,8011.07822963097,7351.27485233597
"67","South Lake Union",3972.17701005808,3381.99458481831,31,10454.4744297468,354.534633416277
"68","Southeast Magnolia",2628.19015675782,805.114790176407,3,3485.75954886109,1888.53429984284
"69","Stevens",3964.56314920334,2471.95667979071,23,8807.83639399263,32.9548485324885
"70","Sunset Hill",3135.68982421165,2361.34328250877,3,4877.02401473,447.948562731365
"71","University District",3466.00177865047,2617.67606532441,37,11900.3596211222,408.784864385142
"72","View Ridge",2975.93259876422,381.694440076552,2,3245.83132568355,2706.03387184489
"73","Wallingford",5494.58605866549,3671.46163103129,24,11952.9559492727,455.895132478141
"74","Wedgwood",2710.26022600626,533.159714164732,4,3439.78552796283,2164.66104377164
"75","West Queen Anne",1945.25766006943,1291.31375939845,4,3704.41078074847,623.648691484261
"76","West Woodland",3671.62237579409,1345.10730037115,14,6397.99857360069,1970.00835568611
"77","Westlake",4424.71343688902,3648.16796773181,16,14031.6549455434,695.202769942925
"78","Whittier Heights",3143.58475379451,NA,1,3143.58475379451,3143.58475379451
"79","Yesler Terrace",10602.1285452877,NA,1,10602.1285452877,10602.1285452877
